Bus Name,Bus Type,From,To,Price,Starting Point,Ending Point,Seat Available,Start Time,Reach Time,Total Travel Time,Bus Rating,Links
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),Delhi,Phagwara,420,ISBT Kashmiri Gate,Ganna Meel Chownk Hoshiarpur ...,10 Seats available,22:20,05:20,07h 00m,4.5,https://www.redbus.in/bus-tickets/delhi-to-phagwara?fromCityId=733&toCityId=1523&fromCityName=Delhi&toCityName=Phagwara&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),Delhi,Phagwara,465,ISBT Kashmiri Gate,Lovely Professional University,19 Seats available,22:00,05:50,07h 50m,4.4,https://www.redbus.in/bus-tickets/delhi-to-phagwara?fromCityId=733&toCityId=1523&fromCityName=Delhi&toCityName=Phagwara&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
New Navyug Travels,A/C Sleeper (2+1),Delhi,Phagwara,563,Karnal bypass,Phagwara Bus Stand,24 Seats available,22:45,05:15,06h 30m,4.3,https://www.redbus.in/bus-tickets/delhi-to-phagwara?fromCityId=733&toCityId=1523&fromCityName=Delhi&toCityName=Phagwara&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
,,Delhi,Phagwara,,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-phagwara?fromCityId=733&toCityId=1523&fromCityName=Delhi&toCityName=Phagwara&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
,,Delhi,Phagwara,,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-phagwara?fromCityId=733&toCityId=1523&fromCityName=Delhi&toCityName=Phagwara&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),Delhi,Amritsar,1216,Karnal by pass delhi,Bus stand,38 Seats available,21:50,08:20,10h 30m,3.8,https://www.redbus.in/bus-tickets/delhi-to-amritsar?fromCityId=733&toCityId=759&fromCityName=Delhi&toCityName=Amritsar&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
RSRTC - 156675,Express Non AC Seater 2+3,Delhi,Amritsar,548,DELHI,AMRITSIR,37 Seats available,22:30,08:30,10h 00m,1.7,https://www.redbus.in/bus-tickets/delhi-to-amritsar?fromCityId=733&toCityId=759&fromCityName=Delhi&toCityName=Amritsar&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Zingbus Plus,Scania A/C Semi Sleeper (2+2),Delhi,Amritsar,429,RK Ashram,Amritsar Gate,17 Seats available,22:15,07:35,09h 20m,4.5,https://www.redbus.in/bus-tickets/delhi-to-amritsar?fromCityId=733&toCityId=759&fromCityName=Delhi&toCityName=Amritsar&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
AdMuskan Tour And Travels private Limited,,Delhi,Amritsar,612,,,20 Seats available,22:40,06:30,07h 50m,4.3,https://www.redbus.in/bus-tickets/delhi-to-amritsar?fromCityId=733&toCityId=759&fromCityName=Delhi&toCityName=Amritsar&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
,,Delhi,Amritsar,,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-amritsar?fromCityId=733&toCityId=759&fromCityName=Delhi&toCityName=Amritsar&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
