Bus Name,Bus Type,From,To,Price,Starting Point,Ending Point,Seat Available,Start Time,Reach Time,Total Travel Time,Bus Rating,Links
Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),Siliguri,Kolkata,1500,Islampur Bypass,Esplanade,20 Seats available,20:15,07:25,11h 10m,4.7,https://www.redbus.in/bus-tickets/siliguri-to-kolkata?fromCityId=74694&toCityId=74820&fromCityName=Siliguri&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),Siliguri,Kolkata,1500,Bagdogra,Esplanade,12 Seats available,21:10,09:00,11h 50m,4.6,https://www.redbus.in/bus-tickets/siliguri-to-kolkata?fromCityId=74694&toCityId=74820&fromCityName=Siliguri&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),Siliguri,Kolkata,1200,Shib Mandir,Esplanade,11 Seats available,19:45,08:20,12h 35m,4.4,https://www.redbus.in/bus-tickets/siliguri-to-kolkata?fromCityId=74694&toCityId=74820&fromCityName=Siliguri&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Express Line,,Siliguri,Kolkata,1499,,,,19:45,07:10,11h 25m,4.4,https://www.redbus.in/bus-tickets/siliguri-to-kolkata?fromCityId=74694&toCityId=74820&fromCityName=Siliguri&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
,,Siliguri,Kolkata,,,,,,,,,https://www.redbus.in/bus-tickets/siliguri-to-kolkata?fromCityId=74694&toCityId=74820&fromCityName=Siliguri&toCityName=Kolkata&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),Kolkata,Siliguri,1500,Madhyamgram,Tenzing Norgay Central Bus Stand,18 Seats available,19:50,07:25,11h 35m,4.6,https://www.redbus.in/bus-tickets/kolkata-to-siliguri?fromCityId=74820&toCityId=74694&fromCityName=Kolkata&toCityName=Siliguri&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),Kolkata,Siliguri,1500,Birati More,Siliguri Junction bus stand,19 Seats available,19:50,07:30,11h 40m,4.6,https://www.redbus.in/bus-tickets/kolkata-to-siliguri?fromCityId=74820&toCityId=74694&fromCityName=Kolkata&toCityName=Siliguri&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Lokenath Bus Service,Volvo Multi-Axle A/C Seater/Sleeper (2+1),Kolkata,Siliguri,1200,RANAGHAT,Siliguri Junction bus stand,19 Seats available,21:30,06:30,09h 00m,4.5,https://www.redbus.in/bus-tickets/kolkata-to-siliguri?fromCityId=74820&toCityId=74694&fromCityName=Kolkata&toCityName=Siliguri&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
,,Kolkata,Siliguri,,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-siliguri?fromCityId=74820&toCityId=74694&fromCityName=Kolkata&toCityName=Siliguri&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
,,Kolkata,Siliguri,,,,,,,,,https://www.redbus.in/bus-tickets/kolkata-to-siliguri?fromCityId=74820&toCityId=74694&fromCityName=Kolkata&toCityName=Siliguri&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),Kolkata,Asansol (West Be...,524,Dankoni,Chelidanga,37 Seats available,19:40,23:25,04h 05m,4.2,https://www.redbus.in/bus-tickets/kolkata-to-asansol?fromCityId=74820&toCityId=74672&fromCityName=Kolkata&toCityName=Asansol%20(West%20Bengal)&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Royal Cruiser,Volvo A/C Seater (2+2),Kolkata,Asansol (West Be...,523,Santragachi,Chelidanga,17 Seats available,19:45,00:15,04h 30m,3.7,https://www.redbus.in/bus-tickets/kolkata-to-asansol?fromCityId=74820&toCityId=74672&fromCityName=Kolkata&toCityName=Asansol%20(West%20Bengal)&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
Beauty Travels,NON A/C Seater / Sleeper (2+2),Kolkata,Asansol (West Be...,380,Babughat,Asansol,36 Seats available,20:20,00:30,04h 10m,3.0,https://www.redbus.in/bus-tickets/kolkata-to-asansol?fromCityId=74820&toCityId=74672&fromCityName=Kolkata&toCityName=Asansol%20(West%20Bengal)&busType=Any&srcCountry=IND&destCountry=IND&onward=31-Aug-2024
